mudra,fit_files,hand_instances,right_hands,left_hands,mean_final_loss
Alapadmam,279,279,167,112,0.030906989936813657
Anjali,322,632,314,318,0.026725801071918368
Aralam,505,505,382,123,0.03509884073887721
Ardhachandran,453,453,309,144,0.027550021494855945
Ardhapathaka,405,405,333,72,0.03455219480818437
Berunda,127,231,112,119,0.0258234849651203
Bramaram,373,373,340,33,0.026553128518903225
Chakra,8,13,5,8,0.026769973910771884
Chandrakala,418,418,300,118,0.030004371305187922
Chaturam,396,396,302,94,0.026402041506530208
Garuda,254,476,253,223,0.02846084802583674
Hamsapaksha,177,177,144,33,0.028305911316962567
Hamsasyam,415,415,291,124,0.03297455563064081
Kangulam,317,317,250,67,0.02636161175988356
Kapith,450,450,348,102,0.02958114245492551
Kapotham,486,969,484,485,0.02440046959809413
Karkatta,222,413,215,198,0.03254698712117158
Kartariswastika,355,651,299,352,0.026657366109425387
Katakamukha 1,375,375,318,57,0.028336391632755597
Katakamukha 2,339,339,311,28,0.029499401143342697
Katakamukha 3,383,383,314,69,0.029094366794427756
Katakavardhana,296,481,207,274,0.02287184052835383
Katrimukha,415,415,301,114,0.037316133054983186
Khatva,165,313,164,149,0.015625088145367255
Kilaka,265,442,177,265,0.02338463427473652
Kurma,30,45,19,26,0.024902474900914563
Matsya,6,10,6,4,0.022217312548309564
Mayura,486,486,372,114,0.03678956771951644
Mrigasirsha,285,285,226,59,0.025467746557765885
Mukulam,308,308,280,28,0.028949228421536986
Mushti,404,404,328,76,0.027064613640621894
Nagabandha,161,270,155,115,0.02840236487487952
Padmakosha,384,384,279,105,0.03196455224921616
Pasha,317,538,313,225,0.021184558746470728
Pathaka,407,407,279,128,0.03846726728104403
Pushpaputa,73,137,65,72,0.015122475364265869
Sakata,581,747,170,577,0.0165000426021331
Samputa,74,106,64,42,0.022101042625265865
Sarpasirsha,362,362,280,82,0.032239060318972196
Shanka,369,736,369,367,0.03079584188399958
Shivalinga,22,35,22,13,0.021433824520292025
Shukatundam,404,404,259,145,0.03156141813908989
Sikharam,461,461,355,106,0.02702171614478441
Simhamukham,359,359,271,88,0.03366585171322305
Suchi,400,400,332,68,0.03361649154685438
Swastika​m,216,396,197,199,0.027507641035216777
Tamarachudam,381,381,313,68,0.03445962691567154
Tripathaka,418,418,309,109,0.03488455375914939
Trishulam,452,452,347,105,0.04059854342058235
Varaha,2,3,1,2,0.022250394026438396
