mudra,fit_files,hand_instances,right_hands,left_hands,mean_final_loss
Alapadmam,279,279,167,112,0.030906989936813657
Anjali,587,897,401,496,0.027454052260612764
Aralam,505,505,382,123,0.03509884073887721
Ardhachandran,453,453,309,144,0.027550021494855945
Ardhapathaka,405,405,333,72,0.03455219480818437
Berunda,549,653,398,255,0.028895119112412833
Bramaram,373,373,340,33,0.026553128518903225
Chakra,601,606,130,476,0.03276965754235735
Chandrakala,418,418,300,118,0.030004371305187922
Chaturam,396,396,302,94,0.026402041506530208
Garuda,630,852,628,224,0.031959262762892064
Hamsapaksha,177,177,144,33,0.028305911316962567
Hamsasyam,415,415,291,124,0.03297455563064081
Kangulam,317,317,250,67,0.02636161175988356
Kapith,450,450,348,102,0.02958114245492551
Kapotham,645,1128,557,571,0.024993862515870244
Karkatta,533,724,331,393,0.035253540808283496
Kartariswastika,678,974,545,429,0.029092018429411753
Katakamukha 1,375,375,318,57,0.028336391632755597
Katakamukha 2,339,339,311,28,0.029499401143342697
Katakamukha 3,383,383,314,69,0.029094366794427756
Katakavardhana,716,901,466,435,0.024668950583376446
Katrimukha,415,415,301,114,0.037316133054983186
Khatva,379,527,354,173,0.017063836102326185
Kilaka,452,629,245,384,0.023628248033574255
Kurma,408,423,193,230,0.02447177108870401
Matsya,594,598,560,38,0.03202945950057943
Mayura,486,486,372,114,0.03678956771951644
Mrigasirsha,285,285,226,59,0.025467746557765885
Mukulam,308,308,280,28,0.028949228421536986
Mushti,404,404,328,76,0.027064613640621894
Nagabandha,530,639,465,174,0.03019024251562329
Padmakosha,384,384,279,105,0.03196455224921616
Pasha,500,721,430,291,0.02256582662638861
Pathaka,407,407,279,128,0.03846726728104403
Pushpaputa,531,595,338,257,0.020088989216396038
Sakata,611,777,179,598,0.01656464849085699
Samputa,376,408,179,229,0.025116916033713257
Sarpasirsha,363,363,281,82,0.032200750415072296
Shanka,679,1046,538,508,0.03110502249548785
Shivalinga,631,644,624,20,0.03526460167536836
Shukatundam,404,404,259,145,0.03156141813908989
Sikharam,461,461,355,106,0.02702171614478441
Simhamukham,360,360,271,89,0.03361078885435644
Suchi,400,400,332,68,0.03361649154685438
Swastika​m,700,880,482,398,0.028901053753427483
Tamarachudam,381,381,313,68,0.03445962691567154
Tripathaka,418,418,309,109,0.03488455375914939
Trishulam,452,452,347,105,0.04059854342058235
Varaha,511,512,349,163,0.028056796711098286
